,FIPS,Median Age,Average Household Size,Median Household Income ($),Per Capita Income ($),Gini Index,Median Gross Rent as Percentage of Household Income (%),Median Gross Rent ($),Percentage of Population Unemployed (%),Percentage of Population without High School Diploma (%),Percentage of Population with Bachelor's Degree or More (%)
1548,6059063701,29.6,3.62,54801.0,19035.0,0.4194,37.29999924,1676.0,5.536547433903577,36.238014664410606,16.49746192893401
1549,6059063702,33.8,3.23,69005.0,27663.0,0.4261,28.60000038,1673.0,1.962952723251313,25.6108805901337,31.28169663439373
1550,6059063808,31.7,3.88,63146.0,21348.0,0.4029,38.5,1744.0,5.157155935306683,40.29152915291529,13.833883388338833
1551,6059063906,31.4,2.64,78080.0,31153.0,0.3554,29.79999924,1662.0,5.646890636168692,23.14499659632403,32.94758339006126
1552,6059099220,45.5,2.27,98141.0,54386.0,0.4232,29.79999924,2225.0,5.747451868629671,9.530112508272667,43.70174277520406
1553,6059099239,47.8,2.98,121771.0,52991.0,0.4443,51.0,3501.0,4.832146490335707,6.956831965750982,43.41776667855869
1554,6059099240,43.6,2.58,93750.0,45546.0,0.3697,33.29999924,1921.0,2.6072607260726075,3.2572454475506536,51.98768915106437
1555,6059099307,49.6,2.14,86779.0,54452.0,0.4474,31.29999924,2444.0,3.236682400539447,10.253953042644945,37.08672735984667
1556,6059088903,39.3,4.14,66357.0,21707.0,0.4365,43.0,1927.0,6.173725771715722,27.6503098308491,16.529894490035172
1557,6059099204,46.4,3.24,66447.0,26858.0,0.4123,40.79999924,1575.0,6.51969981238274,24.315572564027082,30.20312040035325
1558,6059099216,41.6,3.1,91594.0,37319.0,0.3767,29.39999962,2103.0,3.450891164201744,4.794933655006031,36.12786489746683
1559,6059099217,44.6,2.82,120568.0,51599.0,0.393,51.0,2461.0,7.633587786259542,1.7699115044247788,52.27138643067847
1560,6059099225,45.2,3.45,114803.0,44555.0,0.4574,51.0,,3.678304239401496,9.688013136289,45.97701149425287
1561,6059099230,41.1,3.2,100338.0,39336.0,0.4205,35.59999847,2339.0,3.256621797655232,4.400749063670412,39.7940074906367
1562,6059099251,38.7,2.73,74962.0,33910.0,0.409,33.09999847,1927.0,4.597303836847563,8.08320168509742,42.86466561348078
1563,6059088901,44.6,3.89,60917.0,22766.0,0.4568,47.90000153,1648.0,4.592457420924574,27.857282885708685,19.85885120564595
1564,6059088904,45.1,3.8,57250.0,27720.0,0.5015,51.0,1821.0,7.735217552993678,23.266166822867852,26.68697282099344
1565,6059088905,46.8,3.5,48291.0,21313.0,0.4971,51.0,1582.0,3.2112393376818864,29.825048597611776,25.020827547903362
1566,6059099212,36.9,3.1,80513.0,31436.0,0.3723,33.29999924,1866.0,5.322687957418496,16.336260978670012,24.11543287327478
1567,6059099214,47.1,2.72,84583.0,34955.0,0.3732,32.40000153,2139.0,4.215196894065446,9.486607142857142,32.8125
1568,6059099215,39.2,2.85,109111.0,45846.0,0.3699,25.70000076,2166.0,2.88107202680067,6.130680290400646,36.13874697499328
1569,6059099222,39.3,3.32,64391.0,27412.0,0.4691,33.70000076,1874.0,5.497272345782627,23.133116883116884,29.68073593073593
1570,6059099223,44.4,2.96,51732.0,29565.0,0.4934,39.20000076,1657.0,5.935181569699336,22.62210796915167,29.357326478149098
1571,6059099224,43.9,3.23,89938.0,38375.0,0.3794,35.09999847,1829.0,2.4869866975130135,5.738993710691824,44.61477987421384
1572,6059099231,48.8,3.08,142333.0,50667.0,0.3872,39.29999924,3501.0,2.3975251353441607,3.520408163265306,54.08163265306123
1573,6059099232,47.5,2.88,98182.0,45305.0,0.449,51.0,2965.0,5.438282647584973,6.140776699029126,48.737864077669904
1574,6059099233,51.5,2.96,88803.0,39352.0,0.4595,39.79999924,,5.630791161796151,5.808608441287087,40.325950689511075
1575,6059099234,51.0,3.05,96908.0,39122.0,0.434,43.29999924,1430.0,6.424242424242424,10.25236593059937,40.89116719242902
1576,6059099235,40.5,2.33,71071.0,42053.0,0.4399,32.70000076,1761.0,8.200068050357265,4.694028016711723,38.43696239862374
1577,6059099237,48.8,2.74,127375.0,48498.0,0.3428,24.60000038,3199.0,5.637254901960785,8.18490245971162,47.116200169635285
1578,6059099238,48.3,2.89,136250.0,52265.0,0.3817,27.29999924,2833.0,2.7808676307007785,2.056465667479958,53.50296270477518
1579,6059099241,38.3,2.66,79674.0,35741.0,0.4186,28.10000038,1736.0,4.480827229642395,11.096563011456627,30.605564648117838
1580,6059099242,39.2,3.14,92198.0,35924.0,0.3655,32.59999847,2215.0,4.575786463298379,9.345047923322685,34.62460063897764
1581,6059099243,45.2,2.3,90882.0,51974.0,0.3886,42.59999847,2436.0,3.2007315957933242,1.8494055482166447,50.0
1582,6059099244,62.5,2.04,81099.0,57871.0,0.4822,45.09999847,1867.0,0.6574141709276844,3.1021261763680723,52.17845939351691
1583,6059099245,49.5,2.71,117750.0,49481.0,0.372,28.29999924,2800.0,2.0202020202020203,4.44743935309973,50.53908355795148
1584,6059099246,48.3,2.83,118333.0,49225.0,0.3837,43.09999847,2797.0,3.4254807692307696,5.426975259377494,41.77972865123703
1585,6059099250,43.5,2.91,90000.0,38112.0,0.4196,44.0,1903.0,5.0,15.880782918149466,44.43950177935943
