,FIPS,Average Temperature (C),Average Elevation (ft),Average Cloud Transmittance,Average Dew Point Temperature (C),Average Annual Precipitation (mm),Tree Canopy Cover (%),Imperviousness (%),Distance to Nearest Town Hall (m),Distance to Nearest Hospital (m),Distance to Nearest Police Station (m),Distance to Nearest Fire Department (m),Distance to Nearest University (m),Building Value ($),Agriculture Value ($),National Risk Index Composite Score,Expected Annual Loss Composite Score,Social Vulnerability Score,Community Resilience Score,Distance to Closest Major Center (m),Distance to Nearest Water Body or Coast (m),Percent Developed (%)
2812,36081026300,13.07091308931068,15.07302533532043,0.6588038562603176,5.788823993301976,1239.003391165433,1.174887892376681,88.86607142857139,9499.97095,779.784335,1960.618679,340.664925,2127.271448,487849814.56351626,0.0,36.275543500341364,27.25768748254395,70.01013862521268,18.10260890742248,2262.444118,3138.5941454184253,100.0
2813,36081026500,13.05346309303395,18.96304347826085,0.6582510042125755,5.777103448678187,1237.943885583582,4.888349514563108,84.00970873786417,9686.288096,470.927245,1740.89064,445.651003,2268.138332,456767113.73287666,0.0,23.041333622100346,16.204834598056426,134.4737080008768,37.65837931064243,2555.65849,3187.57780666962,99.51456310679612
2814,36081026700,13.05410244963045,17.99286393910565,0.657973716590204,5.777824788136674,1237.276238203161,0.270386266094421,92.33047210300428,10102.35929,0.0,1171.288818,901.508757,2348.508441,540186348.5495529,0.0,43.957943074531656,28.5504231864258,88.3829251653252,18.683557373694146,2920.789107,3095.1723232933136,100.0
2815,36081026901,13.04511843194494,19.76398601398601,0.6568517219144985,5.761415845864299,1236.44189922626,0.299212598425197,92.70312500000003,10634.65446,73.365365,787.48774,916.766187,2253.91687,365255832.564997,0.0,29.629373034725507,19.952841347517282,78.00145179615157,18.670983539680137,3425.289359,2608.50571739994,100.0
2816,36081026902,13.05905429410263,15.2820512820513,0.6579322989170374,5.788309809187766,1236.245137819101,0.151162790697674,93.86046511627907,10552.32863,86.873599,908.615269,779.94514,2439.543088,243575077.2364033,0.0,24.06111378860431,12.77197773989336,89.43158456853253,18.486059535628407,3507.893973,2825.014801377826,100.0
2817,36081027100,13.04655297208739,16.91451149425289,0.6574845495580247,5.780493108254395,1235.542676079624,0.0,95.14285714285715,10657.24132,338.056685,626.444251,633.779092,2253.748288,554364358.9375021,0.0,48.74631100246215,28.436825865525275,163.2671627726225,37.098458412620815,3728.253664,2566.8999746149316,100.0
2818,36081027300,13.02332130312425,19.16481994459835,0.656108991756334,5.753340801666774,1234.582969056445,1.568464730290456,88.75933609958504,11229.14424,1070.661886,39.197509,474.025854,1409.745777,638367795.925891,0.0,59.93608207988414,30.566689711307593,192.19816679607558,37.325708858837764,3510.586625,1620.585205671216,100.0
2819,36081027500,13.02489948272705,19.28315612758815,0.6561220944694912,5.750441842860998,1234.746555458585,0.808080808080808,91.93939393939392,11100.82249,842.061668,22.384981,729.627911,1376.601848,430694629.6108835,0.0,40.414337456512584,26.251196976759736,87.30276106572965,18.81383332485457,3809.290443,1798.7936561356955,100.0
2820,36081027700,13.02634598508238,19.06264236902048,0.6559686670610203,5.746833477585077,1234.873959274117,2.051282051282053,88.97435897435899,10910.1286,692.552125,128.637119,491.338287,1360.98503,531534387.92825544,0.0,43.79685443986967,27.657370204820825,160.36216491280376,37.22824889671999,3967.555261,1919.9294886797911,100.0
2821,36081027900,13.04385848328353,19.61926091825308,0.656456416691805,5.752384977671751,1236.349917079675,3.045454545454545,81.24120603015075,10783.49549,480.189205,365.919316,332.834134,1361.193982,488567223.49982923,0.0,43.64448795152376,27.015134915156757,92.57779270462348,18.84427704703353,3788.522447,2144.2264509733936,100.0
2822,36081028100,13.04617352760703,19.49057681324956,0.6563669664052332,5.749811298026149,1236.541558283658,1.912820512820513,84.45128205128204,10596.31891,356.177721,524.400175,97.403127,1372.724743,506246531.95010793,0.0,35.80925952803573,26.551639718396217,72.92251493450912,18.698384565551823,3629.844246,2280.136888686164,100.0
2823,36081028300,13.04561464138235,19.71412618648803,0.6565569815923215,5.754282281227055,1236.522892784235,1.040201005025126,91.25252525252526,10471.38939,257.305377,761.699138,22.372363,1424.220027,733880804.340758,0.0,55.821958301597626,37.28971232717448,95.41592094373985,18.755665178902568,3391.905458,2504.5085752608607,100.0
2824,36081028500,13.05111668359437,18.58890290037832,0.6567787876044965,5.752294915621401,1237.002703403311,3.346590909090907,85.41242937853107,10356.15737,257.22126,920.43471,67.914406,1477.809226,527794784.30452657,0.0,34.36471572098862,24.60655821503619,75.16634867312587,18.582035721295664,3232.417141,2467.901581332684,100.0
2825,36081028700,13.06385647592369,15.94424552429668,0.657222834663927,5.747361965706014,1238.065692925017,2.516129032258065,90.30875576036867,10166.09069,297.7313,1078.419186,224.456692,1556.382933,602765587.0808629,0.0,42.709901137441555,31.056870629457503,77.80911292519971,18.554626109821882,2993.676399,2512.9407541015075,100.0
2826,36081028900,13.06315055134099,16.13302752293578,0.6572723897225259,5.747832570874372,1238.063598982784,1.143589743589743,87.15897435897433,9985.829148,474.760386,1315.834004,460.234357,1672.546059,503692884.8497407,0.0,35.1674620847164,24.800871551600036,77.34799161458801,18.68581351423243,2836.272966,2483.703920765134,100.0
2827,36081029100,13.06760153629824,14.71505170432786,0.6575642440657844,5.75546785206322,1238.483145367183,1.727586206896552,89.12371134020624,9677.864236,624.308183,1554.001092,698.266057,1813.894828,511328455.82510597,0.0,47.95711480568098,30.0587380886957,93.91706125690557,18.682516832068337,2446.936741,2511.926339151048,100.0
2828,36081029300,13.07989978790283,11.0,0.6579999923706055,5.769899845123291,1239.31396484375,1.796511627906977,91.56725146198819,9435.055848,981.915628,1932.664976,968.848587,1524.17103,186250882.6576952,0.0,6.1335050519845975,4.267289712590527,62.31592846300468,18.8428473127317,2100.970012,2545.443069302584,100.0
2829,36081029700,13.06850823341296,13.82347178683382,0.6567910692558208,5.74196269291187,1239.645060891149,6.175746924428824,84.86842105263163,8632.854016,1498.06836,1058.302262,521.29047,963.805895,410386832.61523,0.0,12.162076172746431,13.650126415243301,30.25144678833227,18.384039665417585,1928.575495,2000.1417915394609,100.0
