,FIPS,Median Age,Average Household Size,Median Household Income ($),Per Capita Income ($),Gini Index,Median Gross Rent as Percentage of Household Income (%),Median Gross Rent ($),Percentage of Population Unemployed (%),Percentage of Population without High School Diploma (%),Percentage of Population with Bachelor's Degree or More (%)
0,34029736102,39.8,2.43,63443.0,28773.0,0.3443,37.09999847,1452.0,4.638173870811073,8.729472774416594,21.33102852203976
1,34029736105,59.0,1.91,67071.0,43777.0,0.4175,45.90000153,1464.0,6.4696040156162855,10.844529750479847,29.30262316058861
2,34029738002,60.7,1.95,87708.0,68577.0,0.5191,40.0,1313.0,6.643952299829642,0.5286343612334802,62.731277533039645
3,34029980100,,,,,,,,,,
4,34019011900,48.8,2.03,75398.0,53983.0,0.4796,29.10000038,1328.0,2.57275411218895,5.948446794448117,51.61929940515532
5,34029734001,67.5,2.1,71181.0,42220.0,0.4094,37.0,1778.0,12.01923076923077,7.186973610331275,27.049410443571027
6,34029735001,38.0,2.73,83721.0,36024.0,0.392,41.29999924,2000.0,5.00669344042838,3.8922155688622757,27.245508982035926
7,34029735002,39.0,2.82,81538.0,34663.0,0.3798,42.40000153,1771.0,3.042046115093974,5.880636217714869,33.09499489274771
8,34029735101,51.9,2.19,52868.0,38119.0,0.5283,24.79999924,1636.0,11.520302171860246,11.509338717819283,29.480060575466936
9,34029736001,58.1,2.38,88816.0,42088.0,0.3822,28.5,1698.0,8.5995085995086,5.051480051480051,35.07078507078507
10,34029736002,48.6,2.66,75655.0,37139.0,0.4171,26.79999924,1281.0,6.105006105006105,8.843537414965986,22.534013605442176
11,34029737000,44.8,2.3,60050.0,32553.0,0.3676,36.59999847,1314.0,6.0449050086355784,4.89060489060489,28.399828399828397
12,34029736101,55.5,2.22,62845.0,37746.0,0.4364,40.5,1164.0,4.13393964448119,5.761134500332373,28.118768003545313
13,34029720103,71.0,1.53,34605.0,33368.0,0.4631,37.5,1097.0,14.514952589350838,15.438373570520966,13.108852181279119
14,34029720203,57.8,2.31,64777.0,36900.0,0.4206,26.39999962,1145.0,4.468949506674405,5.07015306122449,30.07015306122449
