,Average Temperature (C),Average Elevation (ft),Average Cloud Transmittance,Average Dew Point Temperature (C),Average Annual Precipitation (mm),Tree Canopy Cover (%),Imperviousness (%),Distance to Nearest Town Hall (m),Distance to Nearest Hospital (m),Distance to Nearest Police Station (m),Distance to Nearest Fire Department (m),Distance to Nearest University (m),Building Value ($),Agriculture Value ($),National Risk Index Composite Score,Expected Annual Loss Composite Score,Social Vulnerability Score,Community Resilience Score,Distance to Closest Major Center (m),Distance to Nearest Water Body or Coast (m),Percent Developed (%),FIPS,Median Age,Average Household Size,Median Household Income ($),Per Capita Income ($),Gini Index,Median Gross Rent as Percentage of Household Income (%),Median Gross Rent ($),Percentage of Population Unemployed (%),Percentage of Population without High School Diploma (%),Percentage of Population with Bachelor's Degree or More (%)
0,12.71000372496178,6.159868210764381,0.681066854481591,7.251518306250173,1203.30482633946,32.65481109799279,19.44857606610592,0.0,13495.58417,0.0,0.0,16170.4401,1179741164.374577,31996.924574844044,126.07682955287576,129.90306138944732,77.36870578534601,165.33726723116075,74026.46515,1508.1700479270314,49.734395750332006,34029736102,39.8,2.43,63443.0,28773.0,0.3443,37.09999847,1452.0,4.638173870811073,8.729472774416594,21.33102852203976
1,12.73927551640229,2.368481640597182,0.6829870301897776,7.350836312497199,1205.813714508112,5.206513614522158,32.974369927381474,934.886785,13805.04212,951.21117,599.426266,12442.62726,705254224.5318462,16068.272291938283,97.36145710171836,97.98099542119708,30.612597776640275,82.90217561180046,74463.83057,78.69147251559396,43.70995301153353,34029736105,59.0,1.91,67071.0,43777.0,0.4175,45.90000153,1464.0,6.4696040156162855,10.844529750479847,29.30262316058861
2,12.70662694822865,1.62225793766137,0.6738274355022539,7.32828783648582,1107.40410427443,0.732624441362305,38.65290402095188,0.0,15621.87211,0.0,0.0,20114.76871,948084565.7999804,0.0,98.80911734951418,99.41016022305544,20.82884663165325,83.61528547071912,79612.86884,274.35301208749433,46.60298875365891,34029738002,60.7,1.95,87708.0,68577.0,0.5191,40.0,1313.0,6.643952299829642,0.5286343612334802,62.731277533039645
3,12.74186715821982,1.79352909872062,0.6782603130641432,7.279380121144332,1159.72124837274,0.340781687947679,0.570194552529186,1671.558664,16468.4739,1680.790794,1564.614909,15308.15948,16700629.10021018,108.0510418074008,24.368814785953926,23.24487046491465,50.6681026527062,85.23219701076687,77413.13234,261.1400607142816,1.3151750972762646,34029980100,,,,,,,,,,
4,12.0161906437966,43.72689591648732,0.6657935753661388,5.681274956693538,1256.759603283104,41.95607734806631,21.91323570046971,0.0,16785.07463,0.0,0.0,13016.53848,1050600957.0371093,12637.329412713118,81.09334001910885,84.89627907652351,30.609675576544685,89.74792212224534,3.255853727,523.7088774455484,59.07709311964631,34019011900,48.8,2.03,75398.0,53983.0,0.4796,29.10000038,1328.0,2.57275411218895,5.948446794448117,51.61929940515532
5,12.32965467007952,42.06248103561774,0.6709609855682693,6.437831952190452,1228.951605906938,68.55354539735131,6.77977569462555,531.740045,2923.458876,549.509162,0.0,2212.867023,1815827901.2276888,244331.52396393692,104.90828237091073,122.94747031027192,46.32900552478769,168.9447184671039,56846.51818,1266.7618201092737,18.28349621810706,34029734001,67.5,2.1,71181.0,42220.0,0.4094,37.0,1778.0,12.01923076923077,7.186973610331275,27.049410443571027
6,12.38094761274798,31.67149838287028,0.6751281551037194,6.490851822475753,1225.53523238077,30.80377598642348,41.59936305732502,2525.158347,1303.436373,2540.330149,434.895985,5888.229662,877267131.9851773,7145.691017744071,38.74606006019131,55.00344069958617,5.199468702874516,82.19019766061118,62534.82313,904.7095108726554,91.42250530785564,34029735001,38.0,2.73,83721.0,36024.0,0.392,41.29999924,2000.0,5.00669344042838,3.8922155688622757,27.245508982035926
7,12.39458057725757,28.00229709960945,0.6753208475510231,6.505409074725558,1221.259789531104,71.6040911069204,6.009466125054427,2174.190533,0.0,2185.24995,0.0,5962.675601,1441425967.1080384,384071.8992375908,87.41467499845953,96.00180421806418,69.7294458413764,165.95973229705325,62561.10898,237.02684705662685,14.300739881038735,34029735002,39.0,2.82,81538.0,34663.0,0.3798,42.40000153,1771.0,3.042046115093974,5.880636217714869,33.09499489274771
8,12.54272033335636,14.01586019451386,0.6777225233613605,6.738237035344421,1211.938160120128,42.005696326851165,24.08468415364971,915.012671,1049.451869,911.406421,640.679861,9699.103973,1072954806.9300412,241507.50079238927,62.21531937941957,59.00801660724518,62.51160952660507,83.68612149490805,66335.53826,355.9429846451795,53.13881520778072,34029735101,51.9,2.19,52868.0,38119.0,0.5283,24.79999924,1636.0,11.520302171860246,11.509338717819283,29.480060575466936
9,12.52022390261972,19.27056592561539,0.6784657337483995,6.702162629449059,1213.003814510256,67.15221255643479,3.084801484930465,177.909314,5992.605293,179.269451,0.0,12273.22752,751300516.3956537,323784.965503075,51.33898771543794,62.13222470173944,13.078279153992083,82.81345196550875,64096.91473,4917.308838779055,10.735858554080412,34029736001,58.1,2.38,88816.0,42088.0,0.3822,28.5,1698.0,8.5995085995086,5.051480051480051,35.07078507078507
